Mathematics,Chemistry,Biology,Physics,Geography,English,Field_of_Interest,Course
D,B,B,B,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,A,B,C,C,Electronics,Electronics and Telecommunication Engineering
C,F,A,D,A,C,Networks,Electrical and Computer Engineering
F,D,A,B,B,D,Solar Electricity,Electrical and Renewable Energy
F,D,C,D,A,F,Solar Electricity,Electrical and Renewable Energy
B,F,F,B,A,C,Solar Electricity,Electrical and Renewable Energy
C,D,F,D,C,B,Electronics,Electronics and Telecommunication Engineering
C,F,D,F,A,C,Electronics,Electronics and Telecommunication Engineering
C,F,A,F,F,F,Computer,Unknown
F,F,C,B,B,F,Computer,Electrical and Computer Engineering
D,B,B,C,A,D,Solar Electricity,Electrical and Renewable Energy
C,C,B,F,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,D,A,D,B,Networks,Electrical and Computer Engineering
B,F,D,A,D,D,Computer,Electrical and Computer Engineering
D,C,A,D,F,D,Networks,Electrical and Computer Engineering
B,C,A,C,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,B,D,A,C,Solar Electricity,Electrical and Renewable Energy
F,C,B,B,A,D,Networks,Electrical and Computer Engineering
A,C,B,F,B,D,Solar Electricity,Electrical and Renewable Energy
D,B,B,C,D,D,Networks,Electrical and Computer Engineering
B,C,F,D,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,A,D,D,D,Computer,Electrical and Computer Engineering
D,A,A,A,A,F,Electronics,Electronics and Telecommunication Engineering
A,A,B,B,B,B,Solar Electricity,Electrical and Renewable Energy
A,A,C,D,D,B,Computer,Electrical and Computer Engineering
C,F,B,A,B,C,Networks,Electrical and Computer Engineering
C,A,D,C,D,D,Computer,Electrical and Computer Engineering
B,B,C,D,F,B,Electronics,Electronics and Telecommunication Engineering
D,F,D,A,A,B,Solar Electricity,Electrical and Renewable Energy
D,F,C,B,A,F,Solar Electricity,Electrical and Renewable Energy
C,F,D,F,C,F,Computer,Electrical and Computer Engineering
D,C,B,C,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,B,D,C,A,Networks,Electrical and Computer Engineering
A,C,C,A,A,B,Computer,Electrical and Computer Engineering
C,D,D,D,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,F,F,D,B,Solar Electricity,Electrical and Renewable Energy
C,F,C,D,F,C,Networks,Electrical and Computer Engineering
F,F,C,D,D,B,Solar Electricity,Electrical and Renewable Energy
A,C,A,A,B,F,Electronics,Electronics and Telecommunication Engineering
B,F,C,F,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,F,C,C,B,Electronics,Electronics and Telecommunication Engineering
A,A,B,A,F,A,Electronics,Electronics and Telecommunication Engineering
D,F,D,F,B,C,Electronics,Electronics and Telecommunication Engineering
B,D,A,F,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,D,D,A,B,Networks,Electrical and Computer Engineering
A,B,B,B,C,C,Solar Electricity,Electrical and Renewable Energy
B,B,C,B,D,A,Networks,Electrical and Computer Engineering
F,A,F,C,D,F,Networks,Electrical and Computer Engineering
B,B,A,D,A,D,Networks,Electrical and Computer Engineering
D,B,F,B,D,D,Solar Electricity,Electrical and Renewable Energy
D,C,F,A,B,C,Solar Electricity,Electrical and Renewable Energy
D,C,F,C,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,F,D,D,C,Computer,Electrical and Computer Engineering
F,A,B,A,B,A,Solar Electricity,Electrical and Renewable Energy
C,B,F,B,C,B,Solar Electricity,Electrical and Renewable Energy
A,D,F,B,C,F,Computer,Electrical and Computer Engineering
D,A,B,B,B,A,Solar Electricity,Electrical and Renewable Energy
B,B,D,B,B,F,Networks,Electrical and Computer Engineering
D,B,B,F,F,B,Solar Electricity,Electrical and Renewable Energy
B,C,C,C,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,B,C,D,A,Solar Electricity,Electrical and Renewable Energy
D,A,D,B,D,A,Computer,Electrical and Computer Engineering
F,B,C,C,F,C,Networks,Electrical and Computer Engineering
B,A,C,A,D,B,Computer,Electrical and Computer Engineering
B,D,A,A,C,D,Solar Electricity,Electrical and Renewable Energy
D,D,F,C,C,D,Solar Electricity,Electrical and Renewable Energy
B,F,C,B,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,C,D,F,D,Networks,Electrical and Computer Engineering
D,C,D,B,C,D,Solar Electricity,Electrical and Renewable Energy
D,B,C,F,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,D,D,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,F,F,C,A,Computer,Electrical and Computer Engineering
F,A,A,C,A,D,Networks,Electrical and Computer Engineering
B,F,A,F,D,F,Electronics,Electronics and Telecommunication Engineering
F,D,F,C,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,F,F,C,C,Electronics,Electronics and Telecommunication Engineering
A,D,B,D,D,F,Computer,Electrical and Computer Engineering
D,B,C,F,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,B,A,F,Networks,Electrical and Computer Engineering
D,D,C,C,A,B,Electronics,Electronics and Telecommunication Engineering
F,F,D,A,C,A,Networks,Electrical and Computer Engineering
A,B,B,F,D,B,Electronics,Electronics and Telecommunication Engineering
F,B,C,C,F,C,Computer,Electrical and Computer Engineering
F,C,D,A,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,D,C,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,A,C,F,D,Computer,Electrical and Computer Engineering
A,F,D,A,D,F,Solar Electricity,Electrical and Renewable Energy
A,A,F,A,C,D,Electronics,Electronics and Telecommunication Engineering
D,D,D,D,F,B,Electronics,Electronics and Telecommunication Engineering
C,C,F,F,C,D,Solar Electricity,Electrical and Renewable Energy
C,B,F,F,A,B,Computer,Electrical and Computer Engineering
A,F,A,C,D,C,Networks,Electrical and Computer Engineering
C,D,A,B,B,A,Networks,Electrical and Computer Engineering
C,F,D,B,D,C,Computer,Electrical and Computer Engineering
A,F,A,C,B,D,Networks,Electrical and Computer Engineering
C,C,A,D,A,B,Computer,Electrical and Computer Engineering
F,D,C,A,C,D,Electronics,Electronics and Telecommunication Engineering
B,B,D,C,A,A,Electronics,Electronics and Telecommunication Engineering
B,C,D,F,D,F,Solar Electricity,Electrical and Renewable Energy
A,B,D,B,B,F,Computer,Electrical and Computer Engineering
D,A,A,B,B,F,Networks,Electrical and Computer Engineering
A,F,A,B,D,D,Computer,Electrical and Computer Engineering
D,A,F,D,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,B,F,A,B,Solar Electricity,Electrical and Renewable Energy
A,C,B,D,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,B,A,B,C,Solar Electricity,Electrical and Renewable Energy
C,B,C,C,D,B,Solar Electricity,Electrical and Renewable Energy
D,C,A,C,A,A,Solar Electricity,Electrical and Renewable Energy
C,D,F,B,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,F,B,C,F,Solar Electricity,Electrical and Renewable Energy
A,A,B,A,D,C,Computer,Electrical and Computer Engineering
C,B,C,D,F,D,Computer,Electrical and Computer Engineering
F,B,C,F,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,B,A,C,F,Electronics,Electronics and Telecommunication Engineering
A,C,B,C,A,F,Electronics,Electronics and Telecommunication Engineering
F,D,A,C,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,C,D,D,B,Solar Electricity,Electrical and Renewable Energy
C,F,F,A,F,D,Solar Electricity,Electrical and Renewable Energy
A,C,B,F,C,A,Solar Electricity,Electrical and Renewable Energy
B,A,A,A,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,F,A,C,A,Solar Electricity,Electrical and Renewable Energy
D,C,C,D,D,D,Computer,Electrical and Computer Engineering
F,A,B,F,D,B,Solar Electricity,Electrical and Renewable Energy
C,C,B,C,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,A,B,D,A,Solar Electricity,Electrical and Renewable Energy
D,A,A,F,D,B,Computer,Electrical and Computer Engineering
F,D,C,C,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,B,D,B,C,Electronics,Electronics and Telecommunication Engineering
F,D,A,F,F,F,Domestic and Industrial Electricity,Unknown
